mode,map_name,trial_id,model_path,t,x,y,yaw,odom_speed,yaw_rate,raw_action_0,raw_action_1,steer,commanded_speed,speed_limit,min_lidar,distance_from_start,distance_travelled,lap_complete,collided,terminated,termination_reason
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.14121246337890625,0.018714968115091324,-0.04316842555999756,-0.7729596329254493,0.0,0.0,0.3308367133140564,0.7988743185997009,0.14797557661190422,2.8197718262672424,2.8197718262672424,1.210888385772705,0.0,0.0,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.2401888370513916,0.04920527711510658,-0.07064639776945114,-0.7608961713027214,0.8827160295009611,0.31907175720269826,0.3140169382095337,0.7667375206947327,0.14022291871448603,2.8533003330230713,2.8533003330230713,1.2538820505142212,0.04104507341980934,0.041062057396629825,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.34057092666625977,0.1499951034784317,-0.1516415774822235,-0.7122082102752219,1.6426551439979022,0.6205705809591774,0.25975456833839417,0.7518329620361328,0.11545037724399425,3.0,3.0,1.2455023527145386,0.17029650509357452,0.1703727193234954,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.4400804042816162,0.30494996905326843,-0.2658931314945221,-0.6498108945991776,2.1661036694396043,0.6416721583220736,0.15645700693130493,0.7073172330856323,0.06909269296918837,3.0,3.0,1.2583281993865967,0.36267998814582825,0.3629059888480697,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.5401084423065186,0.4991542100906372,-0.3963626027107239,-0.5905088099196923,2.487688712969921,0.5355686789786578,0.025529876351356506,0.6598402261734009,0.011234235129947139,2.8912142515182495,2.8912142515182495,1.24832284450531,0.5962952375411987,0.5968827832548413,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.6402711868286133,0.7169978022575378,-0.5330412983894348,-0.5584393505280822,2.6433049586108823,0.13269610047860925,-0.058732934296131134,0.6442674398422241,-0.025855762290806366,2.694852590560913,2.694852590560913,1.2133514881134033,0.8529796600341797,0.8540553845523391,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.738560676574707,0.9421891570091248,-0.6734960675239563,-0.5599470508226817,2.6631838654450153,-0.11189188955076028,-0.08410513401031494,0.6410149335861206,-0.037045248922280234,2.635779619216919,2.635779619216919,1.175334095954895,1.118086576461792,1.119459357490996,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.8384561538696289,1.1644165515899658,-0.8173292279243469,-0.5835464869759994,2.639103118468717,-0.3546792506350369,-0.05054425075650215,0.6282957196235657,-0.02224792752222466,2.8099358081817627,2.8099358081817627,1.16134512424469,1.382735252380371,1.384182848414639,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,0.9385051727294922,1.384801983833313,-0.9688805341720581,-0.6079452001861985,2.7049832955895967,-0.13055749255351118,-0.011135630309581757,0.6339558959007263,-0.004899767744359595,2.9119402170181274,2.9119402170181274,1.1396846771240234,1.6501928567886353,1.6516509022621904,0,0,0,
legacy,Budapest,legacy_01,old stuff/diffusion_policy.pt,1.0384135246276855,1.6091299057006836,-1.127611756324768,-0.6202826478177433,2.784794430153343,-0.12124118551623812,0.0037046894431114197,0.6336612701416016,0.0016300666839542265,2.9590607285499573,2.9590607285499573,1.1209155321121216,1.9249510765075684,1.9264592401741538,0,0,0,
