tag,step,wall_time,value
loss/train,0,1767726473.4817533,3.035050868988037
loss/train,1,1767726473.4865885,3.0556464195251465
loss/train,2,1767726473.4895742,3.2578582763671875
loss/train,3,1767726473.492504,2.9586801528930664
loss/train,4,1767726473.4954686,2.8337936401367188
loss/train,5,1767726473.498434,2.5717735290527344
loss/train,6,1767726473.501231,2.743828296661377
loss/train,7,1767726473.5040355,2.431788444519043
loss/train,8,1767726473.5069005,2.5909318923950195
loss/train,9,1767726473.5100012,2.6105003356933594
loss/train,10,1767726473.5128915,2.412013530731201
loss/train,11,1767726473.5157642,2.305331230163574
loss/train,12,1767726473.51881,2.348339557647705
loss/train,13,1767726473.5227096,2.3028697967529297
loss/train,14,1767726473.525521,1.9989852905273438
loss/train,15,1767726473.5283363,2.060274600982666
loss/train,16,1767726473.5312517,2.071516513824463
loss/train,17,1767726473.5343394,1.7089205980300903
loss/train,18,1767726473.537296,1.7627103328704834
loss/train,19,1767726473.5400944,1.585213303565979
loss/train,20,1767726473.5430152,1.5124778747558594
loss/train,21,1767726473.5460017,1.4873627424240112
loss/train,22,1767726473.5486982,1.355532169342041
loss/train,23,1767726473.5516903,1.4529943466186523
loss/train,24,1767726473.5551023,1.2565593719482422
loss/train,25,1767726473.5581117,1.3010060787200928
loss/train,26,1767726473.560788,1.197905421257019
loss/train,27,1767726473.5635936,1.1639885902404785
loss/train,28,1767726473.5666518,1.106587529182434
loss/train,29,1767726473.5688558,1.3260302543640137
loss/train,30,1767726473.5723577,1.118248462677002
loss/train,31,1767726473.5752428,1.035158395767212
loss/train,32,1767726473.5782714,1.1013110876083374
loss/train,33,1767726473.5811028,1.0495624542236328
loss/train,34,1767726473.5838385,0.9172661900520325
loss/train,35,1767726473.586797,0.9135749340057373
loss/train,36,1767726473.5897458,0.9060969948768616
loss/train,37,1767726473.5925198,0.9882262945175171
loss/train,38,1767726473.5953934,0.827785313129425
loss/train,39,1767726473.5982573,0.8530887365341187
loss/train,40,1767726473.6010134,0.8222403526306152
loss/train,41,1767726473.6037552,0.7952229380607605
loss/train,42,1767726473.6066883,0.8300748467445374
loss/train,43,1767726473.609539,0.8289002180099487
loss/train,44,1767726473.6123748,0.793036699295044
loss/train,45,1767726473.6153414,0.7340832948684692
loss/train,46,1767726473.6182895,0.7769225239753723
loss/train,47,1767726473.6210353,0.7678775787353516
loss/train,48,1767726473.6237824,0.8382387757301331
loss/train,49,1767726473.627411,0.801006555557251
loss/train,50,1767726473.6303031,0.7256206274032593
loss/train,51,1767726473.6330209,0.7406235933303833
loss/train,52,1767726473.6357803,0.7619471549987793
loss/train,53,1767726473.6386547,0.7830140590667725
loss/train,54,1767726473.6415572,0.7177809476852417
loss/train,55,1767726473.6443076,0.6809051036834717
loss/train,56,1767726473.647147,0.7254185676574707
loss/train,57,1767726473.650106,0.7699557542800903
loss/train,58,1767726473.652947,0.8291254043579102
loss/train,59,1767726473.6549535,0.7276532053947449
loss/train,60,1767726473.658328,0.5457001328468323
loss/train,61,1767726473.6612844,0.7055391073226929
loss/train,62,1767726473.66405,0.8034123182296753
loss/train,63,1767726473.666952,0.8339033126831055
loss/train,64,1767726473.6699102,0.756626307964325
loss/train,65,1767726473.6726859,0.7405012249946594
loss/train,66,1767726473.6754951,0.6009190678596497
loss/train,67,1767726473.6783664,0.7119745016098022
loss/train,68,1767726473.6812737,0.6529582738876343
loss/train,69,1767726473.6840894,0.6795645356178284
loss/train,70,1767726473.6869152,0.6073547601699829
loss/train,71,1767726473.6898181,0.7428189516067505
loss/train,72,1767726473.6927688,0.6834998726844788
loss/train,73,1767726473.6954584,0.6368852853775024
loss/train,74,1767726473.6983302,0.6694226264953613
loss/train,75,1767726473.7010822,0.6524670124053955
loss/train,76,1767726473.7038374,0.6805005669593811
loss/train,77,1767726473.706688,0.837230384349823
loss/train,78,1767726473.7095525,0.662819504737854
loss/train,79,1767726473.7123768,0.6728264689445496
loss/train,80,1767726473.7151897,0.6827322840690613
loss/train,81,1767726473.7180846,0.6881181001663208
loss/train,82,1767726473.7218146,0.7188848257064819
loss/train,83,1767726473.7245543,0.6410294771194458
loss/train,84,1767726473.727431,0.6826972961425781
loss/train,85,1767726473.730367,0.5256320238113403
loss/train,86,1767726473.7331028,0.646155834197998
loss/train,87,1767726473.73587,0.6433843374252319
loss/train,88,1767726473.7387557,0.7175632119178772
loss/train,89,1767726473.7407153,0.86063152551651
loss/train,90,1767726473.7440655,0.783781886100769
loss/train,91,1767726473.7468886,0.6152800917625427
loss/train,92,1767726473.7498374,0.6695361733436584
loss/train,93,1767726473.7526224,0.5971039533615112
loss/train,94,1767726473.755526,0.663766622543335
loss/train,95,1767726473.758389,0.6198276281356812
